* This is the BiomeMobWeight report file that is output every time the server starts.
* 
* Spawn Balance Utility (SBU) will use this file ONLY if it is renamed to BiomeMobWeight.csv.
* Lines starting with '*' are comments and ignored
* When this file is read, SBU writes summary information to the log file.
* 
1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 5, 1, 1
66, none, deep_aether:aerlavender_fields, WATER_CREATURE, deep_aether:aerglow_fish, 5, 1, 3
67, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:aechor_plant, 7, 1, 1
68, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:blue_swet, 6, 1, 1
69, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:golden_swet, 6, 1, 1
70, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:whirlwind, 5, 1, 1
71, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether:evil_whirlwind, 5, 1, 1
72, none, deep_aether:aerlavender_fields, AETHER_SURFACE_MONSTER, aether_redux:vanilla_swet, 5, 1, 2
73, none, deep_aether:aerlavender_fields, AETHER_DARKNESS_MONSTER, aether:cockatrice, 8, 1, 1
74, none, deep_aether:aerlavender_fields, AETHER_SKY_MONSTER, aether:zephyr, 20, 1, 1
75, none, deep_aether:aerlavender_fields, AETHER_AERWHALE, aether:aerwhale, 10, 1, 1
76, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:spider, 80, 4, 4
77, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie, 80, 4, 4
78, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:zombie_villager, 5, 1, 1
79, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:skeleton, 80, 4, 4
80, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:creeper, 80, 4, 4
81, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:slime, 80, 4, 4
82, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:enderman, 5, 1, 4
83, forest, regions_unexplored:alpha_grove, MONSTER, minecraft:witch, 5, 1, 1
84, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:arachne, 80, 1, 2
85, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:bee, 80, 2, 4
86, forest, regions_unexplored:alpha_grove, MONSTER, species:bewereager, 30, 1, 2
87, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:bone_knight, 40, 1, 2
88, forest, regions_unexplored:alpha_grove, MONSTER, species:cliff_hanger, 20, 1, 1
89, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:creep, 80, 2, 4
90, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:deathword, 40, 1, 2
91, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:dryad, 60, 4, 6
92, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:ender_eye, 40, 2, 4
93, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:flesh_lich, 40, 1, 2
94, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:cyan_flower, 60, 1, 2
95, forest, regions_unexplored:alpha_grove, MONSTER, species:ghoul, 15, 1, 1
96, forest, regions_unexplored:alpha_grove, MONSTER, species:limpet, 80, 1, 1
97, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:mimic, 40, 1, 1
98, forest, regions_unexplored:alpha_grove, MONSTER, species:quake, 20, 1, 1
99, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:spriggan, 40, 2, 4
100, forest, regions_unexplored:alpha_grove, MONSTER, grimoireofgaia:werecat, 80, 4, 6
101, forest, regions_unexplored:alpha_grove, MONSTER, species:wicked, 40, 1, 3
102, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:centipede_head, 8, 1, 1
103, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:farseer, 30, 1, 1
104, forest, regions_unexplored:alpha_grove, MONSTER, alexsmobs:murmur, 5, 1, 1
105, forest, regions_unexplored:alpha_grove, MONSTER, quark:toretoise, 40, 1, 3
106, forest, regions_unexplored:alpha_grove, MONSTER, mowziesmobs:grottol, 5, 1, 1
107, forest, regions_unexplored:alpha_grove, MONSTER, more_critters:shriekbat, 5, 1, 1
108, forest, regions_unexplored:alpha_grove, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
109, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:pig, 10, 4, 4
110, forest, regions_unexplored:alpha_grove, CREATURE, minecraft:chicken, 10, 4, 4
111, forest, regions_unexplored:alpha_grove, CREATURE, exoticbirds:bluejay, 12, 2, 5
112, forest, regions_unexplored:alpha_grove, CREATURE, exoticbirds:cardinal, 12, 2, 5
113, forest, regions_unexplored:alpha_grove, CREATURE, crittersandcompanions:ferret, 5, 2, 3
114, forest, regions_unexplored:alpha_grove, CREATURE, crittersandcompanions:jumping_spider, 5, 1, 1
115, forest, regions_unexplored:alpha_grove, CREATURE, exoticbirds:hummingbird, 20, 2, 5
116, forest, regions_unexplored:alpha_grove, CREATURE, exoticbirds:kiwi, 8, 2, 5
117, forest, regions_unexplored:alpha_grove, CREATURE, exoticbirds:lyrebird, 8, 2, 5
118, forest, regions_unexplored:alpha_grove, CREATURE, exoticbirds:magpie, 12, 2, 5
119, forest, regions_unexplored:alpha_grove, CREATURE, exoticbirds:owl, 6, 2, 5
120, forest, regions_unexplored:alpha_grove, CREATURE, exoticbirds:peafowl, 6, 2, 5
121, forest, regions_unexplored:alpha_grove, CREATURE, exoticbirds:pigeon, 12, 2, 5
122, forest, regions_unexplored:alpha_grove, CREATURE, exoticbirds:robin, 12, 2, 5
123, forest, regions_unexplored:alpha_grove, CREATURE, environmental:deer, 10, 4, 4
124, forest, regions_unexplored:alpha_grove, CREATURE, exoticbirds:woodpecker, 12, 2, 5
125, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:grizzly_bear, 8, 2, 3
126, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:raccoon, 10, 2, 4
127, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:crow, 10, 3, 5
128, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:tasmanian_devil, 10, 1, 2
129, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:skunk, 7, 1, 2
130, forest, regions_unexplored:alpha_grove, CREATURE, alexsmobs:blue_jay, 16, 2, 4
131, forest, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:drygmy, 5, 1, 2
132, forest, regions_unexplored:alpha_grove, CREATURE, ghosts:ghost, 14, 1, 2
133, forest, regions_unexplored:alpha_grove, CREATURE, ghosts:small_ghost, 14, 1, 3
134, forest, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:gift_starby, 5, 1, 1
135, forest, regions_unexplored:alpha_grove, CREATURE, ambientadditions:naked_mole_rat, 5, 2, 8
136, forest, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:starbuncle, 5, 1, 2
137, forest, regions_unexplored:alpha_grove, CREATURE, ars_nouveau:whirlisprig, 5, 1, 2
138, forest, regions_unexplored:alpha_grove, AMBIENT, minecraft:bat, 10, 8, 8
139, forest, regions_unexplored:alpha_grove, AMBIENT, crittersandcompanions:leaf_insect, 14, 1, 1
140, forest, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:fly, 5, 2, 3
141, forest, regions_unexplored:alpha_grove, AMBIENT, alexsmobs:cockroach, 5, 5, 5
142, forest, regions_unexplored:alpha_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
143, forest, regions_unexplored:alpha_grove, UNDERGROUND_WATER_CREATURE, species:deepfish, 80, 4, 6
144, forest, regions_unexplored:alpha_grove, WATER_CREATURE, unusualfishmod:deep_crawler, 30, 1, 2
145, forest, regions_unexplored:alpha_grove, WATER_CREATURE, unusualfishmod:shockcat, 20, 1, 2
146, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
147, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, unusualfishmod:blindsailfin, 30, 1, 1
148, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, fintastic:minnow, 7, 3, 8
149, forest, regions_unexplored:alpha_grove, WATER_AMBIENT, unusualfishmod:hatchet_fish, 30, 1, 4
150, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:admiral, 80, 1, 4
151, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:admiral_caterpillar, 80, 1, 4
152, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:admiral_chrysalis, 80, 1, 4
153, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:admiral_egg, 80, 1, 4
154, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:bluemoon, 80, 1, 4
155, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:bluemoon_caterpillar, 80, 1, 4
156, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:bluemoon_chrysalis, 80, 1, 4
157, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:bluemoon_egg, 80, 1, 4
158, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:christmas, 80, 1, 4
159, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:christmas_caterpillar, 80, 1, 4
160, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:christmas_chrysalis, 80, 1, 4
161, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:christmas_egg, 80, 1, 4
162, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:commander, 80, 1, 4
163, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:commander_caterpillar, 80, 1, 4
164, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:commander_chrysalis, 80, 1, 4
165, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:commander_egg, 80, 1, 4
166, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:common-crow, 80, 1, 4
167, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:common-crow_caterpillar, 80, 1, 4
168, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:common-crow_chrysalis, 80, 1, 4
169, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:common-crow_egg, 80, 1, 4
170, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:common, 80, 1, 4
171, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:common_caterpillar, 80, 1, 4
172, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:common_chrysalis, 80, 1, 4
173, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:common_egg, 80, 1, 4
174, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:commonbirdwing, 20, 1, 2
175, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:commonbirdwing_caterpillar, 20, 1, 2
176, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:commonbirdwing_chrysalis, 20, 1, 2
177, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:commonbirdwing_egg, 20, 1, 2
178, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:emperor, 80, 1, 4
179, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:emperor_caterpillar, 80, 1, 4
180, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:emperor_chrysalis, 80, 1, 4
181, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:emperor_egg, 80, 1, 4
182, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:forester, 20, 1, 2
183, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:forester_caterpillar, 20, 1, 2
184, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:forester_chrysalis, 20, 1, 2
185, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:forester_egg, 20, 1, 2
186, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:green-skirt-baron, 50, 1, 3
187, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:green-skirt-baron_caterpillar, 50, 1, 3
188, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:green-skirt-baron_chrysalis, 50, 1, 3
189, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:green-skirt-baron_egg, 50, 1, 3
190, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:hairstreak, 80, 1, 4
191, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:hairstreak_caterpillar, 80, 1, 4
192, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:hairstreak_chrysalis, 80, 1, 4
193, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:hairstreak_egg, 80, 1, 4
194, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:peacock, 80, 1, 4
195, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:peacock_caterpillar, 80, 1, 4
196, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:peacock_chrysalis, 80, 1, 4
197, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:peacock_egg, 80, 1, 4
198, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:rainbow, 50, 1, 3
199, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:rainbow_caterpillar, 50, 1, 3
200, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:rainbow_chrysalis, 50, 1, 3
201, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:rainbow_egg, 50, 1, 3
202, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:bluemoonmale, 80, 1, 4
203, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:atlas, 20, 1, 2
204, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:atlas_caterpillar, 20, 1, 2
205, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:atlas_chrysalis, 20, 1, 2
206, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:atlas_egg, 20, 1, 2
207, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:codling, 80, 1, 4
208, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:codling_caterpillar, 80, 1, 4
209, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:codling_chrysalis, 80, 1, 4
210, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:codling_egg, 80, 1, 4
211, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:luna, 50, 1, 3
212, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:luna_caterpillar, 50, 1, 3
213, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:luna_chrysalis, 50, 1, 3
214, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:luna_egg, 50, 1, 3
215, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:oak-silk, 80, 1, 4
216, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:oak-silk_caterpillar, 80, 1, 4
217, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:oak-silk_chrysalis, 80, 1, 4
218, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:oak-silk_egg, 80, 1, 4
219, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:peppered, 80, 1, 4
220, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:peppered_caterpillar, 80, 1, 4
221, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:peppered_chrysalis, 80, 1, 4
222, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:peppered_egg, 80, 1, 4
223, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:spongy, 80, 1, 4
224, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:spongy_caterpillar, 80, 1, 4
225, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:spongy_chrysalis, 80, 1, 4
226, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:spongy_egg, 80, 1, 4
227, forest, regions_unexplored:alpha_grove, BUTTERFLY_SPAWNS, butterflies:spongymale, 80, 1, 4
228, forest, regions_unexplored:alpha_grove, rascals, friendsandfoes:rascal, 5, 1, 1
229, none, darwiniv:amoebic_sea, MONSTER, darwiniv:amoebite, 70, 1, 3
230, none, darwiniv:amoebic_sea, MONSTER, darwiniv:darkdiskflyer, 60, 4, 5
231, none, darwiniv:amoebic_sea, MONSTER, alexsmobs:farseer, 30, 1, 1
232, none, darwiniv:amoebic_sea, MONSTER, darwiniv:amoebite, 80, 1, 3
233, none, darwiniv:amoebic_sea, MONSTER, darwiniv:amoebound, 20, 1, 2
234, none, darwiniv:amoebic_sea, MONSTER, quark:toretoise, 40, 1, 3
235, none, darwiniv:amoebic_sea, MONSTER, darwiniv:darkdiskflyer, 30, 1, 5
236, none, darwiniv:amoebic_sea, MONSTER, mowziesmobs:grottol, 5, 1, 1
237, none, darwiniv:amoebic_sea, MONSTER, more_critters:shriekbat, 5, 1, 1
238, none, darwiniv:amoebic_sea, MONSTER, enlightened_end:void_leviathan, 10, 1, 1
239, none, darwiniv:amoebic_sea, AMBIENT, darwiniv:emperor_sea_strider, 5, 1, 2
240, none, darwiniv:amoebic_sea, AMBIENT, darwiniv:sea_strider_nymph, 15, 1, 2
241, none, darwiniv:amoebic_sea, AMBIENT, darwiniv:stripewing, 10, 3, 5
242, none, darwiniv:amoebic_sea, AMBIENT, darwiniv:diskflyer, 20, 1, 3
243, none, darwiniv:amoebic_sea, AMBIENT, darwiniv:diskflyer, 20, 1, 3
244, none, darwiniv:amoebic_sea, AMBIENT, darwiniv:emperor_sea_strider, 5, 1, 2
245, none, darwiniv:amoebic_sea, AMBIENT, darwiniv:sea_strider_nymph, 15, 1, 3
246, none, darwiniv:amoebic_sea, AMBIENT, darwiniv:skewer, 5, 1, 2
247, none, darwiniv:amoebic_sea, AMBIENT, darwiniv:stripewing, 10, 2, 5
248, none, regions_unexplored:ancient_delta, MONSTER, minecraft:zombie, 80, 4, 4
249, none, regions_unexplored:ancient_delta, MONSTER, minecraft:zombie_villager, 5, 1, 1
250, none, regions_unexplored:ancient_delta, MONSTER, minecraft:skeleton, 80, 4, 4
251, none, regions_unexplored:ancient_delta, MONSTER, minecraft:slime, 80, 4, 4
252, none, regions_unexplored:ancient_delta, MONSTER, minecraft:witch, 5, 1, 1
253, none, regions_unexplored:ancient_delta, MONSTER, grimoireofgaia:arachne, 80, 1, 2
254, none, regions_unexplored:ancient_delta, MONSTER, species:bewereager, 30, 1, 2
255, none, regions_unexplored:ancient_delta, MONSTER, grimoireofgaia:bone_knight, 40, 1, 2
256, none, regions_unexplored:ancient_delta, MONSTER, species:cliff_hanger, 20, 1, 1
257, none, regions_unexplored:ancient_delta, MONSTER, grimoireofgaia:creep, 80, 2, 4
258, none, regions_unexplored:ancient_delta, MONSTER, grimoireofgaia:deathword, 40, 1, 2
259, none, regions_unexplored:ancient_delta, MONSTER, grimoireofgaia:ender_eye, 40, 2, 4
260, none, regions_unexplored:ancient_delta, MONSTER, grimoireofgaia:flesh_lich, 40, 1, 2
261, none, regions_unexplored:ancient_delta, MONSTER, species:ghoul, 15, 1, 1
262, none, regions_unexplored:ancient_delta, MONSTER, species:limpet, 80, 1, 1
263, none, regions_unexplored:ancient_delta, MONSTER, grimoireofgaia:mimic, 40, 1, 1
264, none, regions_unexplored:ancient_delta, MONSTER, species:quake, 20, 1, 1
265, none, regions_unexplored:ancient_delta, MONSTER, species:wicked, 40, 1, 3
266, none, regions_unexplored:ancient_delta, MONSTER, alexsmobs:centipede_head, 8, 1, 1
267, none, regions_unexplored:ancient_delta, MONSTER, alexsmobs:farseer, 30, 1, 1
268, none, regions_unexplored:ancient_delta, MONSTER, alexsmobs:murmur, 5, 1, 1
269, none, regions_unexplored:ancient_delta, MONSTER, quark:toretoise, 40, 1, 3
270, none, regions_unexplored:ancient_delta, MONSTER, endermanoverhaul:cave_enderman, 5, 1, 2
271, none, regions_unexplored:ancient_delta, MONSTER, mowziesmobs:foliaath, 70, 1, 4
